Iter,Nodes,PE_Dim,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
1,4,32,16741,1.00e+17,0.00e+00,0.00e+00,1.00e+17,0.00e+00,0.00e+00,91.93,69.23,0.0%
2,1,19,3450,1.00e+18,0.00e+00,0.00e+00,1.43e+16,3.73e+06,3.83e+09,5.47,159.24,Inf
3,4,22,3225,2.08e+18,5.89e+07,3.53e+10,5.49e+16,1.66e+06,3.31e+10,22.52,53.11,Inf
4,7,8,1851,1.00e+18,0.00e+00,0.00e+00,1.00e+17,6.26e+06,1.60e+10,18.66,43.39,0.0%
5,6,13,14770,1.00e+17,0.00e+00,0.00e+00,1.00e+17,0.00e+00,0.00e+00,108.26,62.19,0.0%
