Iter,Mode,Cycles,DRAM_Acc,SRAM_Acc,NoC_Lat,NoC_Pwr
1,baseline,0,0,0,0,0
1,atomic,0,0,0,0,0
2,baseline,7225344,4128768,8257536,17.0,250.3244578274601
2,atomic,3211264,294912,294912,17.0,470.9456448834429
3,baseline,57802752,294912,924844032,17.0,14.132045992802096
3,atomic,1605632,294912,231211008,17.0,502.3404169012095
4,baseline,0,0,0,0,0
4,atomic,5569536,294912,42624,15.6931,212.33062656905452
5,baseline,0,0,0,0,0
5,atomic,0,0,0,0,0
6,baseline,0,0,0,0,0
6,atomic,0,0,0,0,0
7,baseline,57802752,294912,924844032,17.0,14.147989408923058
7,atomic,1605632,294912,231211008,17.0,501.79458757278593
8,baseline,57802752,294912,924844032,17.0,22.66607213703809
8,atomic,3211264,294912,462422016,17.0,408.87361699823845
9,baseline,7225344,4128768,8257536,17.0,250.36244795039835
9,atomic,3211264,294912,294912,17.0,470.9974041356145
10,baseline,57802752,294912,924844032,17.0,22.666394184203757
10,atomic,3211264,294912,462422016,17.0,408.8262394583325
11,baseline,7225344,4128768,8257536,17.0,250.41461226402103
11,atomic,3211264,294912,294912,17.0,470.9259328572119
12,baseline,57802752,294912,924844032,17.0,22.658627877160036
12,atomic,3211264,294912,462422016,17.0,408.92009090248445
13,baseline,57802752,294912,924844032,17.0,22.660095980183996
13,atomic,3211264,294912,462422016,17.0,408.914147851207
14,baseline,57802752,294912,924844032,17.0,16.813011473427263
14,atomic,2157568,297216,310689792,17.0,447.55089166693597
15,baseline,0,0,0,0,0
15,atomic,0,0,0,0,0
16,baseline,0,0,0,0,0
16,atomic,0,0,0,0,0
17,baseline,1179648,294912,1179648,17.0,680.022429929876
17,atomic,2408448,589824,16515072,17.0,716.184629765098
18,baseline,0,0,0,0,0
18,atomic,0,0,0,0,0
19,baseline,57802752,294912,924844032,17.0,22.647257988881933
19,atomic,3211264,294912,462422016,17.0,408.80393039718507
20,baseline,57802752,294912,924844032,17.0,16.8118394870721
20,atomic,2157568,297216,310689792,17.0,447.523162114033
21,baseline,7225344,4128768,8257536,17.0,250.35402719715557
21,atomic,3211264,294912,294912,17.0,471.05011268505217
22,baseline,0,0,0,0,0
22,atomic,0,0,0,0,0
23,baseline,1376256,294912,16515072,17.0,383.4904222181102
23,atomic,1078784,297216,310689792,17.0,785.1124889058364
24,baseline,1376256,294912,16515072,17.0,467.9775767496354
24,atomic,1605632,294912,462422016,17.0,799.638372279963
25,baseline,1179648,294912,1179648,17.0,679.9015834753186
25,atomic,2408448,589824,16515072,17.0,716.1641318093908
26,baseline,57802752,294912,924844032,17.0,22.65767728407424
26,atomic,3211264,294912,462422016,17.0,408.8444209729006
27,baseline,1376256,294912,16515072,17.0,383.47503515111526
27,atomic,1078784,297216,310689792,17.0,785.2835941600933
28,baseline,0,0,0,0,0
28,atomic,0,0,0,0,0
29,baseline,57802752,294912,924844032,15.6931,22.5769775429114
29,atomic,928256,298368,133668864,15.6931,1367.8922791826499
30,baseline,0,0,0,0,0
30,atomic,0,0,0,0,0
31,baseline,0,0,0,0,0
31,atomic,0,0,0,0,0
32,baseline,0,0,0,0,0
32,atomic,0,0,0,0,0
33,baseline,0,0,0,0,0
33,atomic,0,0,0,0,0
34,baseline,1179648,294912,1179648,17.0,679.922941255787
34,atomic,3211264,294912,294912,17.0,470.95812907051175
35,baseline,0,0,0,0,0
35,atomic,0,0,0,0,0
36,baseline,0,0,0,0,0
36,atomic,0,0,0,0,0
37,baseline,0,0,0,0,0
37,atomic,0,0,0,0,0
38,baseline,0,0,0,0,0
38,atomic,0,0,0,0,0
39,baseline,0,0,0,0,0
39,atomic,0,0,0,0,0
40,baseline,0,0,0,0,0
40,atomic,3211264,294912,462422016,17.0,408.9881802967586
41,baseline,57802752,294912,924844032,17.0,16.817916122433875
41,atomic,2157568,297216,310689792,17.0,447.18136688000476
42,baseline,0,0,0,0,0
42,atomic,0,0,0,0,0
43,baseline,57802752,294912,924844032,17.0,22.659408694711004
43,atomic,3211264,294912,462422016,17.0,408.8805031522335
44,baseline,1179648,294912,1179648,17.0,679.8931507380945
44,atomic,3211264,294912,294912,17.0,471.0671549062885
45,baseline,1179648,294912,1179648,17.0,679.8090364303329
45,atomic,3211264,294912,294912,17.0,470.9770935784717
46,baseline,1376256,294912,16515072,17.0,467.99227033977223
46,atomic,3211264,294912,462422016,17.0,408.9012529336103
47,baseline,1179648,294912,1179648,17.0,679.7719173603554
47,atomic,2408448,589824,16515072,17.0,715.7327894197157
48,baseline,0,0,0,0,0
48,atomic,928256,298368,133668864,16.0336,1366.640017178844
49,baseline,0,0,0,0,0
49,atomic,0,0,0,0,0
50,baseline,0,0,0,0,0
50,atomic,0,0,0,0,0
