Iter,Nodes,PE,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
1,7,31,0,4.92e+17,2.24e+06,9.32e+09,1.67e+18,9.72e+05,7.30e+10,156.20,77.51,0.0%
2,2,26,0,2.34e+18,5.93e+07,3.94e+10,1.21e+17,3.29e+06,3.70e+10,14.89,58.24,0.0%
3,8,14,0,6.15e+19,1.16e+08,5.69e+10,7.73e+17,1.65e+06,5.05e+10,87.77,65.77,0.0%
4,9,23,0,1.00e+18,0.00e+00,0.00e+00,2.35e+16,8.59e+05,2.74e+10,39.11,50.48,0.0%
5,13,24,0,1.00e+18,0.00e+00,0.00e+00,7.91e+16,8.78e+05,2.83e+10,58.47,50.38,0.0%
6,3,31,0,1.43e+16,2.59e+06,5.52e+09,8.18e+16,2.22e+06,3.69e+10,25.12,59.24,0.0%
7,1,30,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.73e+06,3.19e+09,5.55,155.24,0.0%
8,3,20,0,3.13e+18,5.90e+07,5.31e+10,1.12e+17,2.22e+06,5.03e+10,34.90,73.41,0.0%
9,4,20,0,1.00e+18,0.00e+00,0.00e+00,4.39e+16,1.66e+06,2.64e+10,15.70,60.31,0.0%
10,6,17,0,1.00e+18,0.00e+00,0.00e+00,3.06e+16,1.12e+06,2.72e+10,21.39,54.97,0.0%
11,7,16,0,1.00e+18,0.00e+00,0.00e+00,2.65e+16,9.72e+05,2.72e+10,24.20,49.66,0.0%
12,7,25,0,1.00e+18,0.00e+00,0.00e+00,2.65e+16,9.72e+05,2.72e+10,32.60,49.46,0.0%
13,2,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,40.72,0.0%
14,1,32,0,1.00e+18,0.00e+00,0.00e+00,7.84e+15,2.67e+06,2.94e+09,5.95,231.27,0.0%
15,4,27,0,1.00e+18,0.00e+00,0.00e+00,4.39e+16,1.66e+06,2.64e+10,19.98,55.22,0.0%
16,1,27,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.73e+06,3.19e+09,5.00,154.30,0.0%
17,2,28,0,1.39e+16,2.87e+06,4.84e+09,8.86e+16,3.29e+06,2.70e+10,10.35,53.41,0.0%
18,4,26,0,2.29e+18,5.89e+07,3.89e+10,6.05e+16,1.66e+06,3.65e+10,29.79,58.01,0.0%
19,2,26,0,1.00e+18,0.00e+00,0.00e+00,8.86e+16,3.29e+06,2.70e+10,9.65,49.39,0.0%
20,7,21,0,2.56e+19,5.87e+07,5.34e+10,4.03e+17,9.72e+05,5.08e+10,82.38,65.57,0.0%
21,1,25,0,1.00e+18,0.00e+00,0.00e+00,1.94e+16,3.73e+06,5.21e+09,12.37,160.12,0.0%
22,5,24,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,40.83,0.0%
23,4,26,0,2.29e+18,5.89e+07,3.89e+10,6.05e+16,1.66e+06,3.65e+10,29.79,58.92,0.0%
24,3,18,0,1.00e+18,0.00e+00,0.00e+00,5.95e+16,2.22e+06,2.68e+10,11.04,49.48,0.0%
25,1,26,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.72e+06,3.19e+09,4.82,152.79,0.0%
26,3,31,0,1.16e+16,2.59e+06,4.49e+09,5.95e+16,2.22e+06,2.68e+10,17.25,53.41,0.0%
27,2,25,0,1.00e+18,0.00e+00,0.00e+00,8.86e+16,3.29e+06,2.70e+10,9.31,50.07,0.0%
28,2,31,0,1.39e+16,2.87e+06,4.84e+09,8.86e+16,3.29e+06,2.70e+10,11.50,56.05,0.0%
29,4,31,0,1.06e+16,2.45e+06,4.32e+09,4.39e+16,1.66e+06,2.64e+10,23.00,55.19,0.0%
30,2,23,0,2.34e+18,5.93e+07,3.94e+10,1.21e+17,3.29e+06,3.70e+10,13.94,58.62,0.0%
31,2,28,0,1.69e+16,2.87e+06,5.87e+09,1.21e+17,3.29e+06,3.70e+10,15.60,59.52,0.0%
32,5,26,0,2.33e+18,5.88e+07,3.97e+10,5.11e+16,1.35e+06,3.78e+10,37.23,57.50,0.0%
33,2,29,0,2.08e+16,2.87e+06,7.25e+09,1.65e+17,3.29e+06,5.02e+10,26.14,66.67,0.0%
34,5,19,0,9.42e+18,5.88e+07,5.37e+10,2.07e+17,1.35e+06,5.13e+10,57.54,64.97,0.0%
35,2,31,0,1.39e+16,2.87e+06,4.84e+09,8.86e+16,3.29e+06,2.70e+10,11.50,52.88,0.0%
36,4,29,0,1.31e+16,2.45e+06,5.36e+09,6.05e+16,1.66e+06,3.65e+10,31.93,60.01,0.0%
37,1,30,0,1.00e+18,0.00e+00,0.00e+00,1.51e+16,3.73e+06,4.06e+09,8.17,158.46,0.0%
38,3,28,0,1.16e+16,2.59e+06,4.49e+09,5.95e+16,2.22e+06,2.68e+10,15.52,55.29,0.0%
39,3,30,0,1.16e+16,2.59e+06,4.49e+09,5.95e+16,2.22e+06,2.68e+10,16.65,55.42,0.0%
40,3,23,0,3.13e+18,5.90e+07,5.31e+10,1.12e+17,2.22e+06,5.03e+10,36.16,66.85,0.0%
41,3,27,0,2.31e+18,5.90e+07,3.91e+10,8.18e+16,2.22e+06,3.69e+10,22.86,57.44,0.0%
42,3,28,0,1.43e+16,2.59e+06,5.52e+09,8.18e+16,2.22e+06,3.69e+10,23.39,59.64,0.0%
43,1,23,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.73e+06,3.19e+09,4.35,152.61,0.0%
44,5,25,0,1.00e+18,0.00e+00,0.00e+00,3.73e+16,1.35e+06,2.76e+10,23.29,49.26,0.0%
