Iter,Nodes,PE,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
1,7,31,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
2,2,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
3,12,19,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
4,14,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
5,11,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
6,2,32,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
7,3,31,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
8,5,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
9,6,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
10,8,24,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
11,9,24,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
12,12,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
13,6,22,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.02,0.0%
14,2,32,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.05,0.0%
15,14,22,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.33,0.0%
16,2,20,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,1.03,0.0%
17,6,28,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.82,0.0%
18,9,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.72,0.0%
