Iteration,PE_X,PE_Y,SRAM,EDP,Total_Energy,Logic_Energy,DRAM_Energy,Cycles
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.32
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.13
5,baseline,6,15,15124883,1e+17,0,0,112.247023,33.01
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.81
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.70
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.48
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.60
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.61
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.35
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.22
5,baseline,6,15,15124883,1e+17,0,0,112.247023,32.58
6,atomic,7,14,15740168,1e+17,0,0,134.64057952000002,34.68
7,baseline,4,24,4683204,2.3510055675431485e+18,57802752,40672900272.0,36.04047763999999,28.99
8,atomic,6,15,16596469,1e+17,0,0,121.760623,35.52
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.90
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,32.64
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.66
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.32
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,37.31
2,atomic,1,21,3533077,1.2957976579014656e+16,3211264,4035163904.0,6.72722756,31.69
3,baseline,4,24,3302573,1.9955394517338685e+18,57802752,34523260272.0,28.96251764,25.35
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,22.25
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,38.63
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,37.20
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.09
2,atomic,1,21,3533077,6.1463225665411e+17,100644970,6106934670.0,6.72722756,62.57
3,baseline,4,24,3302573,2.0182015574701443e+18,58447181,34530348991.0,28.96251764,27.38
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,49.39
5,baseline,6,12,15124883,1e+17,0,0,109.51756924,32.27
6,atomic,7,11,15740168,1e+17,0,0,131.69209552,34.38
7,baseline,4,21,4683204,2.377605431342314e+18,58446570,40679982270.0,33.007751240000005,30.78
8,atomic,14,12,16596469,1e+17,0,0,277.73939356,34.48
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.80
2,atomic,1,21,3533077,7.262787267031245e+18,500643141,14506914551.0,6.72722756,63.52
3,baseline,4,24,3302573,2.0181932917527762e+18,58446946,34530346406.0,28.96251764,28.26
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,52.94
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.60
2,atomic,1,21,3533077,7.262792310557197e+18,500643393,14506917323.0,6.72722756,62.96
3,baseline,4,24,3302573,2.0182513628396626e+18,58448597,34530364567.0,28.96251764,28.74
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,26.96
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.81
2,atomic,1,21,3533077,7.262784024765299e+18,500642979,14506912769.0,6.72722756,63.51
3,baseline,4,24,3302573,2.018236484536097e+18,58448174,34530359914.0,28.96251764,43.36
4,atomic,7,10,1895968,4.597487041414758e+16,1856512,24764111632.0,20.78585,23.88
5,baseline,6,12,15124883,1e+17,0,0,109.51756924,25.84
6,atomic,7,11,15740168,1e+17,0,0,131.69209552,34.69
7,baseline,4,21,4683204,2.377564191104519e+18,58445572,40679971292.0,33.007751240000005,38.18
8,atomic,14,12,16596469,1e+17,0,0,277.73939356,27.81
1,baseline,4,32,17143054,1e+17,0,0,101.41939636,36.30
2,atomic,1,21,3533077,7.262826834730694e+18,500645118,14506936298.0,6.72722756,62.47
3,baseline,4,24,3302573,1.156047475179421e+19,258448067,44730358737.0,28.96251764,30.49
4,atomic,7,10,1895968,2.2008265525457027e+18,72072039,30536482429.0,20.78585,53.81
5,baseline,6,12,15124883,1e+17,0,0,109.51756924,31.96
6,atomic,7,11,15740168,1e+17,0,0,131.69209552,41.04
7,baseline,4,21,4683204,1.3149674864508e+19,258445043,50879965473.0,33.007751240000005,24.75
8,atomic,14,12,16596469,1e+17,0,0,277.73939356,35.11
9,baseline,1,15,18503789,2.675442666207805e+19,515094166,51940845826.0,22.468737,210.13
10,atomic,10,9,7014112,1e+17,0,0,88.27310059999999,28.75
11,baseline,13,15,25222669,1e+17,0,0,398.525882,33.89
12,atomic,14,25,11852197,1e+17,0,0,245.106415,31.98
13,baseline,6,6,11857679,1e+17,0,0,85.19809756000001,31.65
14,atomic,11,11,10568648,1e+17,0,0,146.66472096,31.66
15,baseline,5,19,16911552,1e+17,0,0,107.12267480000001,34.18
16,atomic,7,9,7975318,1e+17,0,0,72.53337072,31.37
17,baseline,1,18,7760789,8.106010450985646e+18,507871130,15960762430.0,11.522036840000002,205.82
18,atomic,13,17,20841111,1e+17,0,0,329.28572712,34.18
19,baseline,2,10,9422218,2.4304563562491937e+19,366249756,66360627316.0,23.974435,63.25
20,atomic,3,6,29747216,1e+17,0,0,102.52584928,33.56
21,baseline,9,21,26582921,1e+17,0,0,298.94694904000005,33.88
22,atomic,5,15,10904791,1e+17,0,0,71.291686,31.66
23,baseline,7,10,8962102,1e+17,0,0,80.56802,31.37
24,atomic,6,12,26282709,1e+17,0,0,187.67296924,33.87
25,baseline,13,23,15266938,1e+17,0,0,267.19094631999997,31.97
26,atomic,6,14,26992069,1e+17,0,0,193.46681116,33.89
27,baseline,5,11,12384428,1e+17,0,0,76.1427828,31.88
28,atomic,6,13,16521075,1e+17,0,0,119.46019324,34.19
29,baseline,9,6,12049440,1e+17,0,0,129.65834584,32.05
30,atomic,8,15,20644159,1e+17,0,0,198.094697,34.41
31,baseline,6,18,16402770,1e+17,0,0,123.85582203999999,34.00
32,atomic,5,18,18042514,1e+17,0,0,112.6916852,34.09
33,baseline,6,13,15668689,1e+17,0,0,114.08299324,32.07
34,atomic,3,7,18023129,1e+17,0,0,62.98167951999999,34.18
35,baseline,10,11,18269832,1e+17,0,0,216.06656460000002,34.18
36,atomic,10,8,15406300,1e+17,0,0,181.48435339999997,32.06
37,baseline,7,12,8869993,1e+17,0,0,81.82039728,31.97
38,atomic,14,14,3740483,1e+17,0,0,82.34139803999999,25.35
39,baseline,13,10,26839251,1e+17,0,0,410.418022,34.27
40,atomic,2,18,15732811,3.20366135459036e+19,400643619,79962869809.0,39.90647468,64.90
41,baseline,3,7,3897755,2.02835538686255e+19,398523852,50896712372.0,15.58884952,56.85
42,atomic,8,12,28045095,1e+17,0,0,264.24262532,34.66
43,baseline,2,25,14331260,3.684737949142696e+19,458445941,80374535351.0,40.254203,39.37
