Iter,Nodes,PE,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
1,7,31,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,134.54,0.0%
2,2,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.51,0.0%
3,12,19,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
4,14,25,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.42,0.0%
5,11,27,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,0.32,0.0%
