Iter,Nodes,PE,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
29,4,31,0,1.06e+16,2.45e+06,4.33e+09,4.39e+16,1.66e+06,2.64e+10,23.20,53.22,0.0%
30,2,23,0,2.34e+18,5.93e+07,3.94e+10,1.21e+17,3.29e+06,3.70e+10,14.04,57.34,0.0%
31,2,28,0,1.69e+16,2.87e+06,5.87e+09,1.21e+17,3.29e+06,3.70e+10,15.70,59.01,0.0%
32,5,26,0,2.33e+18,5.88e+07,3.97e+10,5.11e+16,1.35e+06,3.78e+10,37.48,57.31,0.0%
33,2,29,0,2.08e+16,2.87e+06,7.25e+09,1.65e+17,3.29e+06,5.02e+10,26.24,66.17,0.0%
34,5,19,0,9.59e+18,5.88e+07,5.37e+10,2.11e+17,1.35e+06,5.13e+10,57.79,65.53,0.0%
35,2,31,0,1.39e+16,2.87e+06,4.84e+09,8.86e+16,3.29e+06,2.70e+10,11.60,52.72,0.0%
36,4,29,0,1.31e+16,2.45e+06,5.36e+09,6.05e+16,1.66e+06,3.65e+10,32.13,58.56,0.0%
37,1,30,0,1.00e+18,0.00e+00,0.00e+00,1.51e+16,3.73e+06,4.06e+09,8.22,158.13,0.0%
38,3,28,0,1.16e+16,2.59e+06,4.49e+09,5.95e+16,2.22e+06,2.68e+10,15.67,54.39,0.0%
39,3,30,0,1.16e+16,2.59e+06,4.49e+09,5.95e+16,2.22e+06,2.68e+10,16.80,54.51,0.0%
40,3,23,0,3.13e+18,5.90e+07,5.31e+10,1.12e+17,2.22e+06,5.03e+10,36.31,65.74,0.0%
41,3,27,0,2.31e+18,5.90e+07,3.91e+10,8.18e+16,2.22e+06,3.69e+10,23.01,57.13,0.0%
42,3,28,0,1.43e+16,2.59e+06,5.52e+09,8.18e+16,2.22e+06,3.69e+10,23.54,58.84,0.0%
43,1,23,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.73e+06,3.19e+09,4.40,152.49,0.0%
44,5,25,0,1.00e+18,0.00e+00,0.00e+00,3.73e+16,1.35e+06,2.76e+10,23.54,48.87,0.0%
45,2,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,39.91,0.0%
46,3,32,0,1.43e+16,2.59e+06,5.52e+09,4.65e+16,1.26e+06,3.68e+10,25.88,59.14,0.0%
47,3,29,0,1.16e+16,2.59e+06,4.49e+09,5.95e+16,2.22e+06,2.68e+10,16.23,52.27,0.0%
48,2,27,0,1.00e+18,0.00e+00,0.00e+00,8.86e+16,3.29e+06,2.70e+10,10.09,49.08,0.0%
49,1,26,0,1.00e+18,0.00e+00,0.00e+00,1.51e+16,3.73e+06,4.06e+09,7.50,156.10,0.0%
50,2,23,0,1.00e+18,0.00e+00,0.00e+00,8.86e+16,3.29e+06,2.70e+10,8.79,49.18,0.0%
