Iter,Nodes,PE,SRAM_KB,EDP_Base,Lat_Base,En_Base,EDP_Atom,Lat_Atom,En_Atom,Area_mm2,Runtime_s,Improvement
1,7,31,0,4.94e+17,2.25e+06,9.32e+09,1.67e+18,9.72e+05,7.30e+10,156.55,73.00,0.0%
2,2,26,0,2.34e+18,5.93e+07,3.94e+10,1.21e+17,3.29e+06,3.70e+10,14.99,57.13,0.0%
3,8,14,0,6.21e+19,1.16e+08,5.69e+10,7.80e+17,1.65e+06,5.05e+10,88.17,64.73,0.0%
4,9,23,0,1.00e+18,0.00e+00,0.00e+00,2.35e+16,8.59e+05,2.74e+10,39.56,49.21,0.0%
5,13,24,0,1.00e+18,0.00e+00,0.00e+00,8.25e+16,8.79e+05,2.83e+10,59.12,48.97,0.0%
6,3,31,0,1.43e+16,2.59e+06,5.52e+09,8.18e+16,2.22e+06,3.69e+10,25.27,59.34,0.0%
7,1,30,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.73e+06,3.19e+09,5.60,154.81,0.0%
8,3,20,0,3.13e+18,5.90e+07,5.31e+10,1.12e+17,2.22e+06,5.03e+10,35.05,66.15,0.0%
9,4,20,0,1.00e+18,0.00e+00,0.00e+00,4.39e+16,1.66e+06,2.64e+10,15.90,51.28,0.0%
10,6,17,0,1.00e+18,0.00e+00,0.00e+00,3.06e+16,1.12e+06,2.73e+10,21.69,50.36,0.0%
11,7,16,0,1.00e+18,0.00e+00,0.00e+00,2.65e+16,9.72e+05,2.72e+10,24.55,49.16,0.0%
12,7,25,0,1.00e+18,0.00e+00,0.00e+00,2.65e+16,9.72e+05,2.72e+10,32.95,49.17,0.0%
13,2,26,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,39.96,0.0%
14,1,32,0,1.00e+18,0.00e+00,0.00e+00,7.84e+15,2.67e+06,2.94e+09,6.00,230.70,0.0%
15,4,27,0,1.00e+18,0.00e+00,0.00e+00,4.39e+16,1.66e+06,2.64e+10,20.18,51.58,0.0%
16,1,27,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.73e+06,3.19e+09,5.05,152.80,0.0%
17,2,28,0,1.39e+16,2.87e+06,4.84e+09,8.86e+16,3.29e+06,2.70e+10,10.45,52.79,0.0%
18,4,26,0,2.29e+18,5.89e+07,3.89e+10,6.05e+16,1.66e+06,3.65e+10,29.99,57.94,0.0%
19,2,26,0,1.00e+18,0.00e+00,0.00e+00,8.86e+16,3.29e+06,2.70e+10,9.75,48.88,0.0%
20,7,21,0,2.58e+19,5.87e+07,5.34e+10,4.07e+17,9.72e+05,5.08e+10,82.73,65.76,0.0%
21,1,25,0,1.00e+18,0.00e+00,0.00e+00,1.94e+16,3.73e+06,5.21e+09,12.42,158.54,0.0%
22,5,24,0,1.00e+18,0.00e+00,0.00e+00,1.00e+18,0.00e+00,0.00e+00,0.00,40.00,0.0%
23,4,26,0,2.29e+18,5.89e+07,3.89e+10,6.05e+16,1.66e+06,3.65e+10,29.99,57.93,0.0%
24,3,18,0,1.00e+18,0.00e+00,0.00e+00,5.95e+16,2.22e+06,2.68e+10,11.19,48.76,0.0%
25,1,26,0,1.00e+18,0.00e+00,0.00e+00,1.19e+16,3.73e+06,3.19e+09,4.87,152.94,0.0%
26,3,31,0,1.16e+16,2.59e+06,4.49e+09,5.95e+16,2.22e+06,2.68e+10,17.40,52.59,0.0%
27,2,25,0,1.00e+18,0.00e+00,0.00e+00,8.86e+16,3.29e+06,2.70e+10,9.41,48.75,0.0%
28,2,31,0,1.39e+16,2.87e+06,4.84e+09,8.86e+16,3.29e+06,2.70e+10,11.60,52.62,0.0%
