Iter,Mode,Cycles,DRAM_Acc,SRAM_Acc,NoC_Lat,NoC_Pwr
1,baseline,1376256,294912,16515072,15.6931,592.3478041014904
1,atomic,928256,298368,133668864,16.0438,1357.068407611693
2,baseline,57802752,294912,924844032,17.0,22.655619451725407
2,atomic,3211264,294912,462422016,17.0,408.8685639745626
3,baseline,115605504,294912,924844032,16.0048,10.673913997009073
3,atomic,1605632,294912,115605504,16.0048,756.6059911062972
4,baseline,0,0,0,0,0
4,atomic,727552,300672,104767488,16.1172,1429.5725005835693
5,baseline,0,0,0,0,0
5,atomic,501760,299520,72253440,27.2009,2578.568693447688
6,baseline,1376256,294912,16515072,17.0,383.52531636798585
6,atomic,2157568,297216,310689792,17.0,447.11983391457744
7,baseline,0,0,0,0,0
7,atomic,3211264,294912,294912,0.0,0.0
8,baseline,57802752,294912,924844032,17.0,16.82124516232842
8,atomic,2157568,297216,310689792,17.0,447.1717189441871
9,baseline,0,0,0,0,0
9,atomic,1605632,294912,231211008,17.0,500.8703933860728
10,baseline,0,0,0,0,0
10,atomic,1078784,297216,155344896,15.7677,1276.66093724916
11,baseline,0,0,0,0,0
11,atomic,928256,298368,133668864,15.6931,1369.0312742982433
12,baseline,0,0,0,0,0
12,atomic,928256,298368,133668864,15.6931,1366.381854232755
13,baseline,0,0,0,0,0
13,atomic,0,0,0,0,0
14,baseline,0,0,0,0,0
14,atomic,2408448,589824,16515072,0.0,0.0
15,baseline,0,0,0,0,0
15,atomic,1605632,294912,231211008,17.0,501.0548600621729
16,baseline,0,0,0,0,0
16,atomic,3211264,294912,294912,0.0,0.0
17,baseline,1376256,294912,16515072,17.0,468.04482515728876
17,atomic,3211264,294912,462422016,17.0,408.83957300872544
18,baseline,57802752,294912,924844032,17.0,14.120899187326765
18,atomic,1605632,294912,231211008,17.0,501.8503706492841
19,baseline,0,0,0,0,0
19,atomic,3211264,294912,462422016,17.0,408.8341836656825
20,baseline,57802752,294912,924844032,15.6931,22.572946669119474
20,atomic,928256,298368,133668864,15.6931,1367.6167604191694
21,baseline,0,0,0,0,0
21,atomic,3211264,294912,294912,0.0,0.0
22,baseline,0,0,0,0,0
22,atomic,0,0,0,0,0
23,baseline,57802752,294912,924844032,17.0,14.133928872454257
23,atomic,1605632,294912,231211008,17.0,501.5074136169015
24,baseline,0,0,0,0,0
24,atomic,2157568,297216,310689792,17.0,447.49828260694096
25,baseline,0,0,0,0,0
25,atomic,3211264,294912,294912,0.0,0.0
26,baseline,1376256,294912,16515072,17.0,383.65878445009
26,atomic,2157568,297216,310689792,17.0,447.32474290901445
27,baseline,0,0,0,0,0
27,atomic,3211264,294912,462422016,17.0,408.9113361656363
28,baseline,1376256,294912,16515072,17.0,468.10606846256127
28,atomic,3211264,294912,462422016,17.0,408.92410336666507
29,baseline,1376256,294912,16515072,17.0,340.57519112118956
29,atomic,1605632,294912,231211008,17.0,501.88246491083225
30,baseline,57802752,294912,924844032,17.0,22.660104599532403
30,atomic,3211264,294912,462422016,17.0,408.9597995274461
31,baseline,1376256,294912,16515072,17.0,468.0737258877022
31,atomic,3211264,294912,462422016,17.0,408.88302250775973
32,baseline,57802752,294912,924844032,15.9315,26.827004273624272
32,atomic,1304576,299520,187858944,16.0885,1168.6393652165707
33,baseline,1376256,294912,16515072,17.0,468.06778731185386
33,atomic,3211264,294912,462422016,17.0,408.97786808482635
34,baseline,57802752,294912,924844032,16.0904,26.98621235588522
34,atomic,1304576,299520,187858944,16.0885,1168.3132831217818
35,baseline,1376256,294912,16515072,17.0,468.1102356586469
35,atomic,3211264,294912,462422016,17.0,408.70881533967923
36,baseline,1376256,294912,16515072,17.0,340.53393384586826
36,atomic,1605632,294912,231211008,17.0,502.11893865271503
37,baseline,0,0,0,0,0
37,atomic,3211264,294912,294912,0.0,0.0
38,baseline,1376256,294912,16515072,17.0,383.5058000711255
38,atomic,2157568,297216,310689792,17.0,447.1987307378965
39,baseline,1376256,294912,16515072,17.0,383.598380407423
39,atomic,2157568,297216,310689792,17.0,447.2327349971272
40,baseline,57802752,294912,924844032,17.0,16.813137265179986
40,atomic,2157568,297216,310689792,17.0,447.2693219089599
41,baseline,57802752,294912,924844032,17.0,16.84410900287868
41,atomic,2157568,297216,310689792,17.0,447.5101933330024
42,baseline,1376256,294912,16515072,17.0,383.47921597997805
42,atomic,2157568,297216,310689792,17.0,447.29557966207875
43,baseline,0,0,0,0,0
43,atomic,3211264,294912,294912,0.0,0.0
44,baseline,0,0,0,0,0
44,atomic,1304576,299520,187858944,16.0904,1170.6584373408234
45,baseline,0,0,0,0,0
45,atomic,0,0,0,0,0
46,baseline,1376256,294912,16515072,17.0,383.5116240122636
46,atomic,1078784,297216,310689792,17.0,784.8206097608446
47,baseline,1376256,294912,16515072,17.0,383.4917642178878
47,atomic,2157568,297216,310689792,17.0,447.26151897563705
48,baseline,0,0,0,0,0
48,atomic,3211264,294912,462422016,17.0,408.999033424928
49,baseline,0,0,0,0,0
49,atomic,3211264,294912,294912,0.0,0.0
50,baseline,0,0,0,0,0
50,atomic,3211264,294912,462422016,17.0,408.9664435093779
